Course,Credit,Cost
VTL2001,0,0
MHZ3551,5,9900
MHZ3552,5,9900
LLJ3245,2,3960
MHZ4553,5,9900
MHJ4241,2,3960
MHZ5554,5,15350
MHZ5355,3,9210
MHJ5342,3,9210
MHJ5343,3,9210
AGX3201,2,3960
CVX3340,3,5940
EEX3410,4,7920
EEX3417,4,7920
EEX3351,3,5940
DMX3401,4,7920
DMX3302,3,5940
DMX3305,3,5940
DMX3107,1,1980
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
AGX4404,4,7920
AGX4405,4,7920
AGX4356,3,5940
CVX4342,3,5940
DMX4205,2,3960
AGX4302,3,5940
AGX4376,3,5940
AGY4180,1,1980
MHZ4553,5,9900
AGM4307,3,5940
AGX5206,2,6140
AGX5308,3,9210
AGX5314,3,9210
AGX5510,5,15350
AGX5511,5,15350
MHZ5554,5,15350
CVM5401,4,12280
AGX6180,1,3070
DMM6601,6,18420
AGX6387,3,9210
AGX7216,2,6140
AGX7417,4,12280
AGX7283,2,6140
AGY7880,8,24560
AGW4402,4,7920
AGW5402,4,12280
AGX5277,2,6140
AGX5415,4,12280
AGX5565,5,15350
AGX5309,3,9210
AGX6284,2,6140
AGX6490,4,12280
DMX6302,3,9210
DMX6301,3,9210
DMM6601,6,18420
CVX7640,6,18420
CVX7241,2,6140
CVX7242,2,6140
CVY7880,8,24560
CVY7385,3,9210
CVX4348,3,5940
CVX4349,3,5940
CVX4350,3,5940
CVW4802,8,15840
CVX7343,3,9210
CVX7345,3,9210
CVX7346,3,9210
CVX7349,3,9210
EEX3331,3,5940
EEX3336,3,5940
EEX3351,3,5940
EEX3410,4,7920
EEX3417,4,7920
DMX3401,4,7920
DMX3305,3,5940
DMX3107,1,1980
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
EEX4331,3,5940
EEX4332,3,5940
EEX4435,4,7920
EEX4347,3,5940
EEX4436,4,7920
EEX4351,3,5940
EEY4181,1,1980
EEW4301,3,5940
MHZ4553,5,9900
AGM4307,3,5940
EEX5434,4,12280
EEX5335,3,9210
EEX5536,5,15350
EEX5346,3,9210
EEX5351,3,9210
EEX5360,3,9210
EEX5270,2,6140
EEX4362,3,5940
EEX4366,3,5940
EEX5280,2,6140
EEX5466,4,12280
DMX6301,3,9210
EEX5467,4,12280
EEX7241,2,6140
EEX7244,2,6140
EEX7340,3,9210
EEX7171,1,3070
EEX3331,3,5940
EEX3336,3,5940
EEX3351,3,5940
EEX3410,4,7920
EEX3417,4,7920
DMX3401,4,7920
DMX3305,3,5940
DMX3107,1,1980
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
EEX4331,3,5940
EEX4542,5,9900
EEX4434,4,7920
EEX4448,4,7920
EEX4436,4,7920
EEX4351,3,5940
EEY4182,1,1980
MHZ4553,5,9900
AGM4307,3,5940
EEX5352,3,9210
EEX5338,3,9210
EEX5348,3,9210
EEX5351,3,9210
EEX5453,4,12280
DMX5403,4,12280
MHZ5554,5,15350
CVM5401,4,12280
EEX6354,3,9210
EEX6182,1,3070
DMX6301,3,9210
DMX7305,3,9210
DMX7301,3,9210
EEX3331,3,5940
EEX3336,3,5940
EEX3351,3,5940
EEX3410,4,7920
EEX3417,4,7920
DMX3401,4,7920
DMX3305,3,5940
DMX3107,1,1980
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
EEX3262,2,3960
EEX4331,3,5940
EEX4332,3,5940
EEX4330,3,5940
EEX4436,4,7920
EEX4351,3,5940
MHZ4553,5,9900
AGM4307,3,5940
EEY4183,1,1980
EEW4403,4,7920
EEX5150,1,3070
EEX5360,3,9210
EEX5434,4,12280
EEX5333,3,9210
EEX5351,3,9210
DMX5403,4,12280
EEX5564,5,15350
MHZ5554,5,15350
CVM5401,4,12280
DMX6301,3,9210
DMX3401,4,7920
DMX3302,3,5940
DMX3203,2,3960
DMX3304,3,5940
DMX3305,3,5940
DMX3206,2,3960
DMX3107,1,1980
EEX3410,4,7920
EEX3417,4,7920
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
MHZ4553,5,9900
DMX4201,2,3960
DMX4202,2,3960
DMX4203,2,3960
DMX4204,2,3960
DMX4205,2,3960
DMX4306,3,5940
DMX4307,3,5940
DMX4208,2,3960
DMX4212,2,3960
EEX4436,4,7920
DMY4101,1,1980
AGM4307,3,5940
DMW4801,8,15840
DMX5201,2,6140
DMX5302,3,9210
DMX5403,4,12280
DMX5204,2,6140
DMX5205,2,6140
DMX3401,4,7920
DMX3304,3,5940
DMX3305,3,5940
DMX3206,2,3960
DMX3107,1,1980
EEX3410,4,7920
EEX3417,4,7920
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
DMX4409,4,7920
DMX4410,4,7920
DMX4204,2,3960
DMX4205,2,3960
DMX4306,3,5940
DMX4411,4,7920
EEX4436,4,7920
DMY4102,1,1980
MHZ4553,5,9900
AGM4307,3,5940
DMW4802,8,15840
DMX6180,1,3070
DMX6305,3,9210
DMX6306,3,9210
DMM6601,6,18420
DMW6802,8,24560
DMX7303,3,9210
DMX7304,3,9210
DMX7306,3,9210
DMY7881,8,24560
DMX5204,2,6140
DMX5211,2,6140
DMX5212,2,6140
DMX6301,3,9210
DMX6303,3,9210
DMX6304,3,9210
DMX7301,3,9210
DMX7305,3,9210
DMX7402,4,12280
TAX3331,3,5940
TAX3458,4,7920
TAX3459,4,7920
EEX3410,4,7920
EEX3417,4,7920
DMX3401,4,7920
DMX3305,3,5940
DMX3107,1,1980
MHZ3551,5,9900
MHZ3552,5,9900
AGM3203,2,3960
TAX4539,5,9900
TAX4540,5,9900
TAX4560,5,9900
TAX4361,3,5940
TAY4181,1,1980
MHZ4553,5,9900
AGM4307,3,5940
DMX5403,4,12280
TAX5551,5,15350
TAX5547,5,15350
TAX5648,6,18420
TAX5349,3,9210
MHZ5554,5,15350
CVM5401,4,12280
TAX6180,1,3070
TAX6556,5,15350
DMM6601,6,18420
TAX7368,3,9210
TAX7464,4,12280
TAX7369,3,9210
TAY7381,3,9210
TAX4462,4,7920
TAX4438,4,7920
TAJ5353,3,9210
TAX6454,4,12280
TAX6263,2,6140
TAX6265,2,6140
DMX6301,3,9210
TAX6366,3,9210
TAX6367,3,9210
AGI3450,4,7920
AGI3551,5,9900
AGI3552,5,9900
AGI3553,5,9900
AGM3203,2,3960
AGM3354,3,5940
MHZ3458,4,7920
TAK3237,2,3960
AGI4555,5,9900
AGI4559,5,9900
AGI4460,4,7920
AGI4561,5,9900
AGI4362,3,5940
AGX4356,3,5940
AGM4363,3,5940
MHZ4357,3,5940
AGI5364,3,9210
AGI5166,1,3070
AGX5565,5,15350
AGZ5367,3,9210
AGJ5368,3,9210
AGI6478,4,12280
AGM6379,3,9210
AGJ6381,3,9210
AGY6880,8,24560
AGW4401,4,7920
AGW5401,4,12280
TAX3530,5,9900
TAX3331,3,5940
TAI3332,3,5940
TAI3533,5,9900
TAM3234,2,3960
TAM3535,5,9900
MHZ3576,5,9900
TAK3237,2,3960
TAX4438,4,7920
TAX4539,5,9900
TAX4540,5,9900
TAX4441,4,7920
TAI4442,4,7920
TAI4243,2,3960
TAI4344,3,5940
TAM4445,4,7920
TAW4401,4,7920
TAI5246,2,6140
TAX5547,5,15350
TAX5648,6,18420
TAX5349,3,9210
MHZ5570,5,15350
TAW5401,4,12280
TAX6455,4,12280
TAX6556,5,15350
TAX6454,4,12280
TAX6263,2,6140
TAM6457,4,12280
TAY6882,8,24560
LLJ3245,2,3960
MHJ4241,2,3960
TAX3530,5,9900
TAX3331,3,5940
TAI3332,3,5940
TAI3533,5,9900
TAM3234,2,3960
TAM3535,5,9900
MHZ3576,5,9900
TAI3270,2,3960
TAK3237,2,3960
TAX4539,5,9900
TAX4540,5,9900
TAI4371,3,5940
TAI4472,4,7920
TAI4373,3,5940
TAI4474,4,7920
TAI4442,4,7920
TAI4243,2,3960
TAW4402,4,7920
TAI5375,3,9210
TAI5478,4,12280
TAI5579,5,15350
MHZ5570,5,15350
TAY5384,3,9210
TAW5402,4,12280
TAM6457,4,12280
TAX6556,5,15350
TAY6885,8,24560
TAI6580,5,15350
TAX3458,4,7920
TAX3459,4,7920
TAX3370,3,5940
TAX3331,3,5940
TAI3332,3,5940
