Course,Credit,Cost
EEX3467,0,0
EEI3346,0,0
EEI3262,0,0
EEI3266,0,0
EEX3373,0,0
AGM3263,0,0
MHZ3459,0,0
EEI4346,0,0
EEM3366,0,0
EEI3372,0,0
LLJ3265,0,0
EEI4267,0,0
EEI4362,0,0
EEX4465,0,0
MHZ4256,0,0
EEI4361,0,0
AGM4367,0,0
EEY4189,0,0
MHZ4377,0,0
EEI5467,0,0
EEX4373,0,0
EEI5270,0,0
MHZ5375,0,0
EEX5563,0,0
EEW5811,0,0
CVM5402,0,0
MHJ5372,0,0
EEY6189,0,0
EEI5280,0,0
EEI5466,0,0
DMM6601,0,0
EEI6360,0,0
EEI6171,0,0
EEI6567,0,0
EEM6202,0,0
EEX6363,0,0
EEY6689,0,0
EEX6340,0,0
EEX6278,0,0
EEX6377,0,0
FDE3020,0,0
MHZ2250,0,0
EEI3668,0,0
MHJ4271,0,0
EEX5464,0,0
EEX3417,0,0
FDE3023,0,0
LTE3407,0,0
MHZ2250,0,0
EEX3467,0,0
EEI3346,0,0
EEI3266,0,0
EEX3373,0,0
MHZ3459,0,0
EEI3262,0,0
AGM3263,0,0
